SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1
1/22,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,1/5/2022,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment"
2/22,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,1/5/2022,ND,ND,ND,ND,ND,ND,ND
3/22,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,1/5/2022,ND,ND,ND,ND,ND,ND,ND
4/22,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,1/5/2022,ND,ND,ND,ND,ND,ND,ND
5/22,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,1/5/2022,ND,ND,ND,ND,ND,ND,ND
6/22,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,1/6/2022,ND,ND,ND,ND,ND,ND,ND
7/22,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,1/6/2022,ND,ND,ND,ND,ND,ND,ND
8/22,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,1/5/2022,ND,ND,ND,ND,ND,ND,ND
9/22,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,1/6/2022,ND,ND,ND,ND,ND,ND,ND
10/22,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,1/10/2022,ND,ND,ND,ND,ND,ND,ND
11/22,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,1/11/2022,ND,ND,ND,ND,ND,ND,ND
12/22,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,1/11/2022,ND,ND,ND,ND,ND,ND,100
13/22,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,1/11/2022,ND,ND,ND,ND,ND,ND,ND
14/22,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,1/11/2022,ND,ND,ND,120,ND,ND,ND
15/22,Fal (Lower),B33BW,Cornwall PHA,SW83663789,East Bank North,1/11/2022,ND,ND,ND,ND,ND,ND,80
16/22,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,1/11/2022,ND,ND,ND,160,ND,ND,ND
17/22,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,1/10/2022,ND,ND,ND,400,ND,ND,ND
18/22,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,1/11/2022,ND,ND,ND,ND,ND,ND,ND
19/22,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,1/10/2022,ND,ND,ND,ND,ND,ND,ND
21/22,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,1/12/2022,ND,ND,ND,ND,ND,ND,ND
22/22,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,1/12/2022,ND,ND,ND,ND,ND,ND,ND
23/22,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,1/12/2022,ND,ND,ND,160,ND,ND,40
24/22,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,1/11/2022,ND,ND,ND,ND,ND,ND,ND
25/22,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,1/12/2022,ND,ND,ND,ND,ND,ND,ND
26/22,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,1/12/2022,ND,ND,ND,ND,ND,ND,ND
27/22,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,1/12/2022,ND,ND,ND,ND,ND,ND,ND
28/22,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,1/11/2022,ND,ND,ND,ND,ND,ND,ND
29/22,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,1/12/2022,ND,ND,ND,ND,ND,ND,ND
30/22,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,1/17/2022,ND,ND,ND,ND,ND,ND,ND
31/22,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,1/17/2022,ND,ND,ND,ND,ND,ND,ND
32/22,Portland,B25AK,Dorset Council,SY68707757,Site A,1/17/2022,ND,ND,ND,ND,ND,ND,ND
33/22,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,1/16/2022,ND,ND,ND,ND,ND,ND,ND
