,Grid,Longitude,Latitude
0,SW85134212,-5.01475,50.239915
1,SW84093949,-5.027816,50.215916
2,SW82803517,-5.043401,50.176647
3,SW85853369,-4.999913,50.164465
4,SW75462765,-5.141613,50.10638
5,SW85024095,-5.015627,50.229367
6,SW81963551,-5.055343,50.179392
7,SX16305094,-4.58241,50.329669
8,SX05744972,-4.72998,50.315322
9,SW80212383,-5.073089,50.073851
10,SX13025157,-4.628757,50.334296
11,SX05214698,-4.736002,50.290533
12,SW83663789,-5.032923,50.20139
13,TQ90429738,0.750713,51.642979
14,TL91160795,0.767179,51.737656
15,TM04060768,0.953593,51.730689
16,TL89310707,0.73994,51.73038
17,TQ88148489,0.711112,51.531568
18,TR06779599,0.985863,51.624731
19,TR00508769,0.890668,51.552463
20,TQ93798271,0.79127,51.510081
21,TQ94909207,0.812427,51.593759
22,TM39434850,1.493175,52.083052
23,TM28834500,1.33641,52.056115
24,TM00001301,0.897946,51.780012
25,SU48760530,-1.308791,50.845166
26,SS46573142,-4.190907,51.061556
27,SY66477627,-2.474975,50.585183
28,SH76317972,-3.857474,53.299963
29,TR10326689,1.019747,51.362128
30,TF65963701,0.466223,52.904923
31,SS87114787,-3.617827,51.21883
32,TF79884539,0.677606,52.975698
33,TF91804549,0.854965,52.972468
34,TR01316497,0.889419,51.348147
35,NU12333958,-1.805652,55.649602
36,SS67659210,-3.912843,51.612132
37,SU70560339,-0.999556,50.825748
38,SX87415599,-3.585325,50.392963
39,SX92827284,-3.514072,50.545459
40,SD34194862,-3.003748,53.929519
41,SD23116464,-3.176512,54.071938
42,SY45918886,-2.767215,50.696845
43,SX54224904,-4.04929,50.323203
44,SU62850544,-1.108656,50.845068
45,SU40280013,-1.429797,50.799328
46,SZ01818871,-1.975729,50.698021
47,TF44234098,0.145147,52.946851
48,SX97948072,-3.444001,50.617218
49,SW93407530,-4.917171,50.540877
50,SX87945350,-3.577128,50.37068
51,SX84724671,-3.620311,50.309015
52,SX90965741,-3.535812,50.406399
53,SY68918032,-2.440852,50.621739
54,SX67114467,-3.866777,50.28697
55,SH49916579,-4.246747,53.168022
56,SZ57479794,-1.186238,50.778189
57,SH58337328,-4.124211,53.237611
58,SM89000275,-5.053758,51.683776
59,SJ17568056,-3.238918,53.315546
60,UNVERIFIED,-1.0,-1.0
61,SH53148022,-4.205121,53.298536
62,SS87184778,-3.616797,51.218035
63,SY68707757,-2.443587,50.596997
64,SM72582343,-5.304423,51.862995
65,SS46403160,-4.193408,51.063128
66,SS50209860,-4.167466,51.666159
67,SS50509590,-4.161977,51.64198
68,SS43409470,-4.263966,51.629266
69,SX82504197,-3.650001,50.265964
70,SX93996191,-3.494461,50.44741
71,SH67528109,-3.989859,53.310145
72,SX02264678,-4.777261,50.287755
73,,-1.0,-1.0
