SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,DSP-ProrocentrumLimaCellsL-1 (groups),PSP-Alexandrium_spp.CellsL-1 (groups),DSP-DinophysiaceaeCellsL-1 (groups),ASP-Pseudo-nitzschia_spp.CellsL-1 (groups),YessotoxinLingulodiniumPolyedrumCellsL-1 (groups),YessotoxinProtoceratiumReticulatumCellsL-1 (groups),VenerupinProrocentrumCordatumCellsL-1 (groups),Case Possible,Abnormally High Cases,Total Abnormal Cases
23/20,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,1/20/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
24/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,1/20/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
47/20,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,1/28/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
48/20,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,1/28/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
52/20,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,2/4/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
64/20,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,2/11/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
185/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,4/20/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
231/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,5/4/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
664/20,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,9/1/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
690/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,9/8/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
711/20,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,9/15/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
712/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,9/15/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
733/20,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,9/22/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
734/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,9/22/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
758/20,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,9/29/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
759/20,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,9/29/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
760/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,9/29/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
768/20,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,10/5/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
770/20,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,10/5/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
788/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,10/12/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
807/20,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,10/20/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
808/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,10/20/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
811/20,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,10/21/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
812/20,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,10/21/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
813/20,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,10/21/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
867/20,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,11/23/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
870/20,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,11/23/2020 0:00,ND,ND,ND,ND,ND,ND,ND,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Unsure,Unsure,36
